日期,磨煤機,煤源_保證,用煤量_保證,熱值_kcalkg_保證,揮發份_pct_保證,總水份_pct_保證,灰份_pct_保證,用煤量合計_保證,發電量_保證_MWh,平均熱值_保證_kcalkg,保證時段發電量_avg_MW,保證時段發電量_max_MW,保證時段發電量_min_MW,燃燒器角度_度,主蒸汽溫度_C,再熱蒸汽溫度_C,溫度Tag_C,原煤耗_g,未燃碳_飛灰保證_pct,熱耗率,SCR入口NOx,SCR入口CO,冷凝器真空度,冷凝器出口水溫_C,燃燒風門開度_A_pct,燃燒風門開度_B_pct,燃燒風門開度_C_pct,燃燒風門開度_D_pct,火上風門開度_FCP,火上風門開度_FCS,火上風門開度_FCT,火上風門開度_FCF
2026-05-21,D,印尼,771.17578125,6070,37.46,15.9,4.78,3032.54638671875,8373,6230.436481981369,642.6323648047874,661.6031494140625,632.8261108398438,-30,524.1598694159857,524.6333068691556,376.7039551795901,363.6627667320738,4.15636441642718,9477.871805902107,113.36051415055609,478.3489844183178,9.000271797180176,43.65625,60,60,50,50,0.6000000238418579,0.6000000238418579,0.6000000238418579,0.6000000238418579
2026-05-22,A,澳洲,812.1572265625,6387,29.79,9.8,12.4,3076.666015625,8402,6232.314457106256,646.7590085393023,659.2711181640625,631.7725219726562,-30,527.0571228963945,527.4692267298393,376.9069880805052,366.20809121815233,3.063740759590316,9548.79569256779,110.77150095088403,767.2967469491008,8.97265625,43.49106216430664,60,60,50,50,0.6000000238418579,0.6000000238418579,0.6000000238418579,0.6000000238418579
2026-05-22,B,澳洲,763.197265625,6387,29.79,9.8,12.4,3076.666015625,8402,6232.314457106256,646.7590085393023,659.2711181640625,631.7725219726562,-30,527.0571228963945,527.4692267298393,376.9069880805052,366.20809121815233,3.063740759590316,9548.79569256779,110.77150095088403,767.2967469491008,8.97265625,43.49106216430664,60,60,50,50,0.6000000238418579,0.6000000238418579,0.6000000238418579,0.6000000238418579
2026-05-22,C,印尼,735.2666015625,6070,37.46,15.9,4.78,3076.666015625,8402,6232.314457106256,646.7590085393023,659.2711181640625,631.7725219726562,-30,527.0571228963945,527.4692267298393,376.9069880805052,366.20809121815233,3.063740759590316,9548.79569256779,110.77150095088403,767.2967469491008,8.97265625,43.49106216430664,60,60,50,50,0.6000000238418579,0.6000000238418579,0.6000000238418579,0.6000000238418579
2026-05-22,D,印尼,766.044921875,6070,37.46,15.9,4.78,3076.666015625,8402,6232.314457106256,646.7590085393023,659.2711181640625,631.7725219726562,-30,527.0571228963945,527.4692267298393,376.9069880805052,366.20809121815233,3.063740759590316,9548.79569256779,110.77150095088403,767.2967469491008,8.97265625,43.49106216430664,60,60,50,50,0.6000000238418579,0.6000000238418579,0.6000000238418579,0.6000000238418579
2026-05-23,A,澳洲,816.30078125,6387,29.79,9.8,12.4,3096.3818359375,8437,6233.94625594704,648.2770005638337,657.8917236328125,638.0271606445312,-30,524.104824212506,524.5805100540981,376.03396067899814,365.53871185101946,5.183218408943069,9534.799365835286,102.67774178000057,1294.83028553331,9.03548526763916,43.84834671020508,60,60,50,50,0.6000000238418579,0.6000000238418579,0.6000000238418579,0.6000000238418579
2026-05-23,B,澳洲,785.087890625,6387,29.79,9.8,12.4,3096.3818359375,8437,6233.94625594704,648.2770005638337,657.8917236328125,638.0271606445312,-30,524.104824212506,524.5805100540981,376.03396067899814,365.53871185101946,5.183218408943069,9534.799365835286,102.67774178000057,1294.83028553331,9.03548526763916,43.84834671020508,60,60,50,50,0.6000000238418579,0.6000000238418579,0.6000000238418579,0.6000000238418579
2026-05-23,C,印尼,740.3095703125,6070,37.46,15.9,4.78,3096.3818359375,8437,6233.94625594704,648.2770005638337,657.8917236328125,638.0271606445312,-30,524.104824212506,524.5805100540981,376.03396067899814,365.53871185101946,5.183218408943069,9534.799365835286,102.67774178000057,1294.83028553331,9.03548526763916,43.84834671020508,60,60,50,50,0.6000000238418579,0.6000000238418579,0.6000000238418579,0.6000000238418579
2026-05-23,D,印尼,754.68359375,6070,37.46,15.9,4.78,3096.3818359375,8437,6233.94625594704,648.2770005638337,657.8917236328125,638.0271606445312,-30,524.104824212506,524.5805100540981,376.03396067899814,365.53871185101946,5.183218408943069,9534.799365835286,102.67774178000057,1294.83028553331,9.03548526763916,43.84834671020508,60,60,50,50,0.6000000238418579,0.6000000238418579,0.6000000238418579,0.6000000238418579
2026-05-25,A,澳洲,770.171875,6387,29.79,9.8,12.4,3078.1064453125,8424,6231.1985893950505,649.4223732716592,658.939697265625,642.048828125,-30,523.4366386394062,523.9907927452145,376.7501549684178,367.4699212234153,2.8917696794110634,9551.067002786069,111.11102088089184,555.6409739326028,9.3125,44.20978927612305,60,60,50,50,0.800000011920929,0.800000011920929,0.800000011920929,0.800000011920929
